title,location,price,area,no_rooms,interior,year
ApartmentNieuwezijdsVoorburgwal18B,1012RZAmsterdam(Burgwallen-NieuweZijde),"€3,000permonth",100m²,3rooms,Furnished,
ApartmentNieuwezijdsVoorburgwal18D,1012RZAmsterdam(Burgwallen-NieuweZijde),"€3,250permonth",100m²,3rooms,Furnished,
ApartmentBentinckstraat,1051GDAmsterdam(Staatsliedenbuurt),"€2,500permonth",87m²,3rooms,Furnished,
ApartmentNassaukade,1053LKAmsterdam(DaCostabuurt),"€1,600permonth",40m²,2rooms,Upholstered,
ApartmentGravenstraat,1012NLAmsterdam(Burgwallen-NieuweZijde),"€1,900permonth",55m²,2rooms,Furnished,
ApartmentLoenermark,1025TPAmsterdam(Buikslotermeer),"€1,950permonth",75m²,3rooms,Furnished,
ApartmentKNSM-laan630,1019LRAmsterdam(OostelijkHavengebied),"€1,950permonth",72m²,3rooms,Furnished,
ApartmentCornelisvanRijplantsoen3,1063MCAmsterdam(Slotermeer-Noordoost),"€1,950permonth",91m²,3rooms,Furnished,
ApartmentWeerdestein90,1083GGAmsterdam(Buitenveldert-Oost),"€2,600permonth",110m²,4rooms,Furnished,
ApartmentLeenhofstraat,1067KWAmsterdam(Geuzenveld),"€1,750permonth",69m²,3rooms,Furnished,
ApartmentAdmiraalDeRuijterweg178E,1056GZAmsterdam(Landlust),"€2,000permonth",75m²,3rooms,Furnished,
ApartmentElandsgracht,1016TVAmsterdam(Jordaan),"€2,900permonth",100m²,3rooms,Upholstered,
ApartmentBrittenburg39,1082BSAmsterdam(Buitenveldert-West),"€1,750permonth",65m²,3rooms,Upholsteredorfurnished,
StudioZeeburgerdijk,1093SKAmsterdam(Dapperbuurt),"€1,250permonth",33m²,1room,Furnished,
ApartmentWarmoesstraat12B,1012JDAmsterdam(Burgwallen-OudeZijde),"€2,050permonth",74m²,2rooms,Upholsteredorfurnished,
ApartmentSarphatipark,1073CPAmsterdam(OudePijp),"€2,450permonth",73m²,3rooms,Upholstered,
ApartmentBosrankstraat,1032LHAmsterdam(NoordelijkeIJ-oeversWest),"€2,200permonth",85m²,3rooms,Furnished,
HousePrinsengracht751,1017JXAmsterdam(Grachtengordel-Zuid),"€5,950permonth",265m²,8rooms,Upholsteredorfurnished,
ApartmentStaringstraat,1054VRAmsterdam(OvertoomseSluis),"€1,800permonth",75m²,3rooms,Shell,
ApartmentBloemgracht,1015TJAmsterdam(Jordaan),"€2,500permonth",87m²,3rooms,Furnished,
ApartmentHaarlemmerdijk,1013JKAmsterdam(Haarlemmerbuurt),"€1,600permonth",50m²,2rooms,Upholstered,
