title,price,area,volume,type,year,no_rooms,no_bed,no_bath,no_floor,balcony,garden,interior
For rent: Apartment Johannes Verhulststraat in Amsterdam,"€2,000 per month",65 m²,200 m³,Apartment,1902,2,1,1,1,Present,nan,Furnished
For rent: House Boxtelseweg in Liempde,"€1,525 per month",100 m²,nan,House,nan,2,1,nan,nan,nan,nan,Upholstered
For rent: Apartment Houthof in Nijmegen,"€1,750 per month",68 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Furnished
For rent: House Dekemastate in Huizen,"€1,200 per month",107 m²,364 m³,House,1982,3,2,nan,1,Not present,Present (44 m²),Upholstered or furnished
For rent: Apartment Looiershof in Rotterdam,"€1,700 per month",103 m²,nan,Apartment,1909,2,1,1,1,nan,Present,Furnished
For rent: Apartment Maerelaan 11 C in Heemskerk,€850 per month,77 m²,nan,Apartment,1998,3,2,1,nan,Present,Not present,Shell
For rent: Apartment Hoogstraat in Enschede,"€1,750 per month",150 m²,nan,Apartment,nan,5,4,2,nan,Not present,Not present,Upholstered
For rent: House 1e Jerichostraat 57 A in Rotterdam,"€2,500 per month",110 m²,300 m³,House,nan,4,3,1,2,nan,Present,Furnished
For rent: House Winkeldijk 19 AR88 in Vinkeveen,"€1,300 per month",70 m²,nan,House,nan,3,2,1,nan,Not present,Present,Furnished
For rent: Apartment De Kaai in Groningen,"€1,080 per month",45 m²,nan,Apartment,2017,2,1,1,1,nan,Not present,Upholstered
